Cartridge | Farmer Friend Extracts: Lemon ...,Farmer's Friend Extracts   |   FFEPDX  ,75.18%,0.43%,$22,1 g,Bridge City - SE
Cartridge | Farmer's Friend Extracts: Mend...,Farmer's Friend Extracts   |   FFEPDX  ,75.7%,0%,$23,1 g,Bridge City - SE
Cartridge | Golden Goose: Blue Dream 3:1 CBD,Unknown Brand,18.27%,59.77%,$46,1 g,Bridge City - SE
Cartridge | Golden Goose: Marionberry kush...,Unknown Brand,36.62%,40.85%,$46,1 g,Bridge City - SE
Dreamtime #4,NW KIND,71.3%,0%,$20,1 gram,Nectar - Barbur
Forum x Huckleberry Diesel ,NW KIND,72.48%,0%,$30,1 gram,Nectar - Barbur
J-1,NW KIND,68.29%,0%,$30,1 gram,Nectar - Barbur
Blueberry Cheesecake,NW KIND,69.68%,0%,$35,1 gram,Nectar - Barbur
Bruce City Diesel Rosin,Karma Originals,67.87%,0.08%,$44,1 gram,Nectar - Barbur
Cherry Misu,Hush,62%,0.55%,$44,1 gram,Nectar - Barbur
Dawg Daze,Hush,63%,0.98%,$40,1 gram,Nectar - Barbur
Dog Walker,Oregon Grown Extractions,80.5%,0%,$40,1 gram,Nectar - Barbur
Dream Queen,Hush,61.2%,0.645%,$20,1 gram,Nectar - Barbur
Sour Diesel ,Dab Factory,67.2%,0%,$20,1 gram,Nectar - Barbur
Tres Dawg ,Willamette Valley Alchemy,74.7%,0%,$20,1 gram,Nectar - Barbur
Welch's Wonder,Dr. Jolly's ,76.07%,0.16%,$40,1 gram,Nectar - Barbur
White Tahoe Cookies ,White Label Extracts,74.25%,0%,$40,1 gram,Nectar - Barbur
Agent Orange,Oregon Grown Extractions,78.1%,0.2%,$20,1 gram,Nectar - Barbur
Black Lime Reserve (Diamond Sauce),Buddies Brand,64.2%,0.64%,$20,1 gram,Nectar - Barbur
Blue Mango BHO,Xhale,73.5%,0.69%,$35,1 gram,Nectar - Barbur
Mt. Strawberry ,Dr. Jolly's,63.63%,0.09%,$25,1 gram,Nectar - Barbur
OG Kush LR,Cultivated Industries,63.6%,0.36%,$20,1 gram,Nectar - Barbur
Purple Vapor LR,White Label Extracts,67.6%,0%,$20,1 gram,Nectar - Barbur
Scott's OG,White Label Extracts,78.83%,0%,$30,1 gram,Nectar - Barbur
SFV OG ,Willamette Valley Alchemy,72.1%,0%,$30,1 gram,Nectar - Barbur
Heavy Ooey Gooey,Dab Factory,35.66%,3.21%,$30,1 gram,Nectar - Barbur
Jet Feul,Dr. Jolly's,71.64%,0.15%,$30,1 gram,Nectar - Barbur
Lemon Sour Jet Feul ,Dr. Jolly's ,70.69%,0.05%,$15,1 gram,Nectar - Barbur
Mandarin Cooks ,Oregrown,85%,0%,$15,1 gram,Nectar - Barbur
Moon Puppies,Willamette Valley Alchemy,79.28%,0%,$25,1 gram,Nectar - Barbur
Chemberry,Deltra Mantra ,68.85%,0%,$20,1 gram,Nectar - Barbur
Chemdawg #4,White Label Extracts,68.38%,0%,$52,1 gram,Nectar - Barbur
cherry chem,White Label Extracts,73.9%,0%,$52,1 gram,Nectar - Barbur
